Timestamp;Offset;Event;Path
2023-02-19 21:17:01.994838;127;"LOOKUP SENT";P1-P2
2023-02-19 21:17:01.995194;127;"LOOKUP SENT";P1-P3
2023-02-19 21:17:02.033808;127;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:17:02.052188;127;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:02.084028;127;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:17:02.139657;127;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:02.163190;127;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:17:06.204745;131;"LOOKUP SENT";P3-P2
2023-02-19 21:17:06.206332;131;"LOOKUP SENT";P3-P4
2023-02-19 21:17:06.207193;131;"LOOKUP SENT";P3-P1
2023-02-19 21:17:06.292245;131;"LOOKUP RECEIVED";P3-P1
2023-02-19 21:17:06.490445;132;"LOOKUP SENT";P2-P4
2023-02-19 21:17:06.490708;132;"LOOKUP SENT";P2-P3
2023-02-19 21:17:06.491038;132;"LOOKUP SENT";P2-P1
2023-02-19 21:17:06.547832;132;"LOOKUP RECEIVED";P2-P1
2023-02-19 21:17:06.613524;132;"LOOKUP RECEIVED";P2-P4
2023-02-19 21:17:07.269369;132;"LOOKUP RECEIVED";P3-P2
2023-02-19 21:17:07.452680;133;"LOOKUP RECEIVED";P2-P3
2023-02-19 21:17:09.007340;134;"LOOKUP SENT";P1-P4
2023-02-19 21:17:09.008029;134;"LOOKUP SENT";P1-P2
2023-02-19 21:17:09.008497;134;"LOOKUP SENT";P1-P3
2023-02-19 21:17:09.053119;134;"LOOKUP RECEIVED";P1-P3
2023-02-19 21:17:09.184203;134;"LOOKUP RECEIVED";P1-P4
2023-02-19 21:17:09.987663;135;"LOOKUP RECEIVED";P1-P2
2023-02-19 21:17:10.319072;136;"LOOKUP RECEIVED";P3-P4
2023-02-19 21:17:10.928315;136;"LOOKUP SENT";P4-P3
2023-02-19 21:17:10.928944;136;"LOOKUP SENT";P4-P1
2023-02-19 21:17:10.930115;136;"LOOKUP SENT";P4-P2
2023-02-19 21:17:11.960893;137;"LOOKUP RECEIVED";P4-P3
2023-02-19 21:17:13.001017;138;"LOOKUP RECEIVED";P4-P1
