Timestamp;Peer;Received;Source;Payload
2023-04-14 12:16:35.429000;P2;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467395373, "HBresp": 0}
2023-04-14 12:16:35.748000;P2;JOIN;P3;{"Message": "JOIN", "Destination": "P2", "Source": "P3", "ID": "P3_1681467390801", "TTL": 2, "Route": "", "Relay": "spinat", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:35.834000;P2;JOIN;P3;{"Message": "JOIN", "Destination": "P2", "Source": "P3", "ID": "P3_1681467390801", "TTL": 1, "Route": "", "Relay": "spinat", "Cookie": "17a17d318e6ae16aea23"}
2023-04-14 12:16:39.596000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467399566, "HBresp": 0}
2023-04-14 12:16:40.436000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467400435", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:41.393000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467401345, "HBresp": 0}
2023-04-14 12:16:42.488000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 3, "ID": "P3_1681467402424", "Route": [], "Path": ["P3", "P2"]}
2023-04-14 12:16:46.374000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467406321, "HBresp": 1681467406351}
2023-04-14 12:16:46.399000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467406320, "HBresp": 1681467406355}
2023-04-14 12:16:46.434000;P2;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467406321, "HBresp": 1681467406379}
2023-04-14 12:16:46.444000;P2;LOOKUP;P2;{"Message": "LOOKUP", "Destination": "P1", "Source": "P2", "TTL": 4, "ID": "P2_1681467406443", "Route": [], "Path": ["P2"]}
2023-04-14 12:16:47.489000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 3, "ID": "P3_1681467407431", "Route": [], "Path": ["P3", "P2"]}
2023-04-14 12:16:50.447000;P2;HB;P3;{"Message": "HB", "RID": "P3", "HBref": 1681467410389, "HBresp": 0}
2023-04-14 12:16:52.502000;P2;LOOKUP;P3;{"Message": "LOOKUP", "Destination": "P1", "Source": "P3", "TTL": 3, "ID": "P3_1681467412438", "Route": [], "Path": ["P3", "P2"]}
2023-04-14 12:16:54.606000;P2;HB;P4;{"Message": "HB", "RID": "P4", "HBref": 1681467414573, "HBresp": 0}
2023-04-14 12:16:56.417000;P2;HB;P1;{"Message": "HB", "RID": "P1", "HBref": 1681467416363, "HBresp": 0}
